rule,rep,window,time_ms,between_within_separation
STDP,10,16,412.5,0.5405390769918015
STDP,10,17,437.5,0.6044881945379563
STDP,10,18,462.5,0.6568242983087939
STDP,10,19,487.5,0.5644841448002368
T_STDP,10,0,12.5,0.5155246352075793
T_STDP,10,1,37.5,0.5938744891506332
T_STDP,10,2,62.5,0.7181729742573768
T_STDP,10,3,87.5,0.8149343036592236
T_STDP,10,4,112.5,0.8847849824116999
T_STDP,10,5,137.5,0.8266086126705627
T_STDP,10,6,162.5,0.8121681052243381
T_STDP,10,7,187.5,0.8142385436119337
T_STDP,10,8,212.5,0.8514576524768223
T_STDP,10,9,237.5,0.7886837304781498
T_STDP,10,10,262.5,0.6693464216892503
T_STDP,10,11,287.5,0.6474755395119776
T_STDP,10,12,312.5,0.7440693909149889
T_STDP,10,13,337.5,0.6867501606508523
T_STDP,10,14,362.5,0.6007279951644748
T_STDP,10,15,387.5,0.6514912613307177
T_STDP,10,16,412.5,0.5725189989414557
T_STDP,10,17,437.5,0.6506230348815126
T_STDP,10,18,462.5,0.6887735281362778
T_STDP,10,19,487.5,0.6023196717203304
SRDP,10,0,12.5,0.5124536799212678
SRDP,10,1,37.5,0.7708919533951405
SRDP,10,2,62.5,1.0561180775947872
SRDP,10,3,87.5,1.011832658873496
SRDP,10,4,112.5,0.9206744713051189
SRDP,10,5,137.5,0.7367438108619044
SRDP,10,6,162.5,0.6051995852015198
SRDP,10,7,187.5,0.5037712042290906
SRDP,10,8,212.5,0.4607322598267491
SRDP,10,9,237.5,0.390281145596651
SRDP,10,10,262.5,0.2957739957393413
SRDP,10,11,287.5,0.3066570669586862
SRDP,10,12,312.5,0.28328441387631387
SRDP,10,13,337.5,0.30559322769219077
SRDP,10,14,362.5,0.26763215485957753
SRDP,10,15,387.5,0.2540676790763305
SRDP,10,16,412.5,0.2079790622349219
SRDP,10,17,437.5,0.2441827555403325
SRDP,10,18,462.5,0.24438391963742137
SRDP,10,19,487.5,0.26362955961054735
